month,year,county,num_retailers,num_returns,gross_sales,retail_sales,state_net_taxable_sales,state_sales_tax
11,2016,Washington,,758,4093000,3706000,1633000,46000
2,2018,Crowley,,622,2596000,2500000,1144000,32000
8,2020,Mesa,,13815,626060000,536598000,250059000,
11,2020,Moffat,,3180,45646000,39832000,21318000,
1,2019,Adams,,18383,2645242000,1851268000,711671000,20104000
2,2015,Summit,,3623,180384,175895,124800,3509
3,2019,Delta,,4151,63484000,54627000,25102000,705000
6,2017,Las Animas,,1750,35375000,33427000,19695000,553000
11,2019,Grand,,5331,61566000,55081000,35031000,984000
11,2018,Crowley,,684,2755000,2528000,1178000,33000
5,2016,Phillips,,678,9256000,7852000,2667000,75000
7,2019,Douglas,,24832,1385483000,1038740000,593441000,16673000
4,2020,Costilla,,1333,4386000,4113000,1839000,
11,2020,San Juan,,656,2796000,2284000,945000,
2,2017,Arapahoe,,14817,1779470000,1409363000,793493000,22306000
9,2015,Costilla,,656,3883,3813,1543,43
5,2016,Prowers,,1157,30301000,26793000,11505000,323000
5,2017,Conejos,,1012,6067000,5360000,3249000,92000
7,2018,Ouray,,896,14822000,14590000,10511000,295000
8,2019,Boulder,,25978,1399220000,1115045000,573991000,16171000
8,2020,Jefferson,,39907,2130833000,1841762000,894863000,
11,2020,Custer,,2180,9677000,8672000,4601000,
3,2017,Yuma,,1507,30681000,25253000,8797000,249000
5,2017,Boulder,,10852,1093525000,843067000,469674000,13218000
10,2016,Gilpin,,781,8609000,8148000,5900000,220000
7,2018,Arapahoe,,16317,2236875000,1756217000,1013537000,28506000
4,2017,Montezuma,,1848,57486000,48292000,24916000,712000
2,2020,Delta,,5411,56786000,50245000,24137000,
11,2020,Washington,,2042,11434000,10665000,3478000,
12,2018,Mineral,,1075,,5630000,1824000,52000
1,2017,Garfield,,4297,226634000,203639000,87211000,2450000
12,2016,Rio Blanco,,1043,80033000,,5848000,164000
12,2016,Boulder,,17380,2832742000,1892662000,552369000,15637000
8,2015,Jefferson,,12973,1583496,1385842,737292,20759
1,2017,Arapahoe,,14666,1825421000,1449313000,822286000,23122000
5,2020,Chaffee,,5422,64463000,56331000,34985000,
11,2020,Kit Carson,,3301,37499000,32967000,11152000,
7,2019,Grand,,5700,87243000,79396000,55005000,1544000
11,2017,Prowers,,1321,26066000,23166000,11305000,319000
8,2017,Teller,,1907,39308000,37636000,21737000,621000
1,2016,Mineral,,308,3670000,3639000,1089000,31000
10,2017,Arapahoe,,15650,2082550000,1631626000,947526000,26649000
8,2017,Montezuma,,1864,69556000,57050000,30209000,867000
10,2017,Rio Blanco,,952,40905000,16237000,7552000,212000
8,2016,Grand,,2562,53886000,51947000,34934000,980000
10,2019,Las Animas,,2800,40345000,35867000,17500000,491000
4,2015,Alamosa,,1039,45695,41438,18134,509
9,2018,Yuma,,1706,44523000,40778000,11379000,320000
9,2015,Yuma,,1346,48374,41895,10140,285
12,2018,Hinsdale,,877,1162000,1121000,486000,14000
8,2017,Rio Grande,,1416,,,10857000,305000
3,2016,Mineral,,345,5122000,5091000,1565000,44000
7,2019,Kit Carson,,2315,50845000,41873000,11194000,315000
10,2016,Douglas,,9257,1157809000,865859000,472138000,13308000
8,2019,Adams,,29836,3120802000,2259591000,930665000,26300000
9,2016,Dolores,,448,6384000,2698000,1572000,44000
3,2018,Park,,2133,18007000,17148000,7093000,199000
